district,party,featured,poll_close
OR02,gop,,
OR03,dem,,
OR04,dem,,
OR05,dem,1,11:00
PA01,dem,,
PA02,dem,,
PA03,gop,,
PA04,gop,,
PA05,gop,,
PA06,gop,1,8:00
PA07,gop,,
PA08,gop,1,8:00
PA09,gop,,
PA10,gop,,
PA11,gop,,
PA12,gop,,
PA13,dem,,
PA14,dem,,
PA15,gop,,
PA16,gop,,
PA17,dem,,
PA18,gop,,
PR01,dem,,
RI01,dem,,
RI02,dem,,
SC01,gop,,
SC02,gop,,
SC03,gop,,
SC04,gop,,
SC05,gop,,
SC06,dem,,
SC07,gop,,
SD01,gop,,
TN01,gop,,
TN02,gop,,
TN03,gop,,
TN04,gop,,
TN05,dem,,
TN06,gop,,
TN07,gop,,
TN08,gop,,
TN09,dem,,
TX01,gop,,
TX02,gop,,
TX03,gop,,
TX04,gop,,
TX05,gop,,
TX06,gop,,
TX07,gop,,
TX08,gop,,
TX09,dem,,
TX10,gop,,
TX11,gop,,
TX12,gop,,
TX13,gop,,
TX14,gop,,
TX15,dem,,
TX16,dem,,
TX17,gop,,
TX18,dem,,
TX19,gop,,
TX20,dem,,
TX21,gop,,
TX22,gop,,
TX23,dem,1,9:00
TX24,gop,,
TX25,gop,,
TX26,gop,,
TX27,gop,,
TX28,dem,,
TX29,dem,,
TX30,dem,,
TX31,gop,,
TX32,gop,,
TX33,dem,,
TX34,dem,,
TX35,dem,,
TX36,gop,,
UT01,gop,,
UT02,gop,,
UT03,gop,,
UT04,dem,1,10:00
VA01,gop,,
VA02,gop,1,7:00
VA03,dem,,
VA04,gop,,
VA05,gop,,
VA06,gop,,
VA07,,,
VA08,dem,,
VA09,gop,,
VA10,gop,1,7:00
VA11,dem,,
VI01,dem,,
VT01,dem,,
WA01,dem,1,11:00
WA02,dem,,
WA03,gop,,
WA04,gop,,
WA05,gop,,
WA06,dem,1,9:00
WA07,dem,,
WA08,gop,,
WA09,dem,,
WA10,dem,,
WI01,gop,,
WI02,dem,,
WI03,dem,,
WI04,dem,,
WI05,gop,,
WI06,gop,,
WI07,gop,,
WI08,gop,,
WV01,gop,,
WV02,gop,1,7:30
WV03,dem,1,7:30
WY01,gop,,
